"genelist[, 1]",pvalues,padj
FBgn0036487,0.002971501,0.028989874
FBgn0039886,0.003002462,0.029214433
FBgn0033421,0.003020021,0.029307746
FBgn0027453,0.003065005,0.0295107
FBgn0031244,0.003057432,0.0295107
FBgn0034833,0.003060932,0.0295107
FBgn0259176,0.003077874,0.029557237
FBgn0039749,0.003108825,0.029699895
FBgn0266212,0.00310888,0.029699895
FBgn0035977,0.003126465,0.02971354
FBgn0265178,0.003123013,0.02971354
FBgn0035766,0.003142647,0.029747185
FBgn0037684,0.003154269,0.029747185
FBgn0264844,0.003152673,0.029747185
FBgn0031452,0.003168098,0.029801184
FBgn0037548,0.003196796,0.02999443
FBgn0034281,0.003241018,0.030331975
FBgn0031690,0.003274355,0.030411813
FBgn0035815,0.003259892,0.030411813
FBgn0267758,0.003274009,0.030411813
FBgn0030749,0.00330798,0.030646724
FBgn0038769,0.003319721,0.030678228
FBgn0035598,0.003341026,0.030724369
FBgn0263628,0.003341421,0.030724369
FBgn0053218,0.003415261,0.031325014
FBgn0011829,0.003527294,0.032272106
FBgn0262888,0.00353645,0.032275588
FBgn0035795,0.00355799,0.032391802
FBgn0032260,0.003689854,0.033262952
FBgn0032889,0.003682581,0.033262952
FBgn0038912,0.003686939,0.033262952
FBgn0267765,0.003675266,0.033262952
FBgn0015527,0.003720241,0.033454877
FBgn0001992,0.003768744,0.033808392
FBgn0052571,0.003827149,0.034248792
FBgn0026878,0.003840645,0.034286142
FBgn0028708,0.003880317,0.034494794
FBgn0263933,0.003882774,0.034494794
FBgn0266656,0.00391618,0.034707737
FBgn0037998,0.003962892,0.035037303
FBgn0028515,0.003989955,0.035191981
FBgn0267464,0.004003972,0.035231125
FBgn0036485,0.00406194,0.035655886
FBgn0025631,0.004140453,0.035747857
FBgn0032015,0.004119207,0.035747857
FBgn0033199,0.004134626,0.035747857
FBgn0033469,0.004096918,0.035747857
FBgn0034543,0.004110273,0.035747857
FBgn0038312,0.004088034,0.035747857
FBgn0263042,0.004128501,0.035747857
FBgn0266617,0.004155168,0.035790883
FBgn0033479,0.004212419,0.036199244
FBgn0002922,0.004282278,0.036209887
FBgn0015295,0.00426467,0.036209887
FBgn0028398,0.004282572,0.036209887
FBgn0034399,0.00423992,0.036209887
FBgn0267302,0.004278232,0.036209887
FBgn0267472,0.004277227,0.036209887
FBgn0267975,0.004234956,0.036209887
FBgn0031286,0.004298851,0.036264164
FBgn0264554,0.004343584,0.036557673
FBgn0030362,0.004363319,0.036560943
FBgn0262976,0.004363854,0.036560943
FBgn0267468,0.004437861,0.037096484
FBgn0029804,0.004449997,0.037113577
FBgn0035833,0.004495976,0.037412213
FBgn0010228,0.004582014,0.03804209
FBgn0266685,0.004594498,0.038059832
FBgn0028538,0.004605612,0.038066161
FBgn0000615,0.004630109,0.038104398
FBgn0003977,0.004630959,0.038104398
FBgn0015571,0.004655262,0.038218867
FBgn0037391,0.004700511,0.038504411
FBgn0019661,0.004714395,0.038532324
FBgn0005390,0.004804067,0.038798074
FBgn0010772,0.004800518,0.038798074
FBgn0027280,0.004816094,0.038798074
FBgn0030592,0.004831299,0.038798074
FBgn0031631,0.004824694,0.038798074
FBgn0033476,0.004782893,0.038798074
FBgn0035031,0.00478865,0.038798074
FBgn0039172,0.004799411,0.038798074
FBgn0013983,0.004866932,0.03899908
FBgn0034380,0.004955455,0.039609438
FBgn0040370,0.004964641,0.039609438
FBgn0026257,0.004983992,0.039629875
FBgn0031518,0.004988753,0.039629875
FBgn0037133,0.00505866,0.040098606
FBgn0265855,0.005118365,0.040484618
FBgn0014427,0.005187969,0.040903441
FBgn0038745,0.005198059,0.040903441
FBgn0264448,0.005204679,0.040903441
FBgn0036571,0.005256032,0.041218948
FBgn0259831,0.005290593,0.041401704
FBgn0010395,0.005332727,0.0415037
FBgn0030769,0.005318545,0.0415037
FBgn0035771,0.00533748,0.0415037
FBgn0083974,0.005363203,0.041528131
FBgn0262647,0.00535526,0.041528131
FBgn0038830,0.005417211,0.0418582
FBgn0267228,0.005428896,0.041860544
FBgn0052523,0.00544483,0.041895571
FBgn0267117,0.005486879,0.04204321
FBgn0267820,0.0054784,0.04204321
FBgn0030049,0.005593214,0.04268017
FBgn0050391,0.005588201,0.04268017
FBgn0005649,0.005627804,0.042855207
FBgn0027095,0.00566835,0.043074774
FBgn0036667,0.005700307,0.043228308
FBgn0086710,0.005777421,0.043722953
FBgn0034331,0.005847106,0.044068967
