"","ACO.14.1","ACO.14.2","ACO.14.3","ACO.14.4","ACO.14.5","AO.14.1","AO.14.2","AO.14.3","AO.14.4","AO.14.5","CO.14.1","CO.14.2","CO.14.3","CO.14.4","CO.14.5","nCO.14.1","nCO.14.2","nCO.14.3","nCO.14.4","nCO.14.5"
"FBgn0025640",205.750428627184,141.466186953528,217.800392075746,234.317439542388,219.557769638078,205.691981840994,172.867571133643,192.678786550717,205.873617269571,165.052905628944,181.548175813879,182.800899693449,304.588413055837,169.06436787757,203.990643604325,188.090682282979,195.228465835386,212.842188563365,187.999669096562,178.375156556847
"FBgn0025644",12.7369312959685,9.22605567088227,9.12935775167799,9.1077449998808,17.9377262776208,12.2193256539204,15.0756602732828,14.12305241733,25.5950983632439,16.5052905628944,0.769271931414743,2.94840160795886,0,0.725598145397294,0,4.11127174389026,4.4119427307432,3.21271228020173,5.44926577091484,5.66270338275705
"FBgn0025674",159.701523172528,170.682029911322,160.415857636628,143.23998954358,130.586647301079,154.778124949659,161.812086933235,173.511786841483,192.519652906139,180.457843487645,145.392395037386,153.316883613861,132.657417720594,169.06436787757,162.480919615073,144.922328972131,122.431410778124,138.949806118725,151.671230623796,159.499478614324
"FBgn0025683",39.1905578337493,53.8186580801466,28.6922672195594,37.2589568176942,67.445850803854,30.5483141348011,33.1664526012222,51.4482623774164,28.9335894541018,41.8134027593324,42.3099562278109,32.4324176875475,44.5100546299361,55.8710571955917,66.4155583828035,25.6954483993141,38.604498894003,20.8826298213113,37.2366494345847,21.707029633902
"FBgn0025684",90.1382830176233,72.2707694219111,73.0348620134239,89.421496362466,101.168776205781,87.5718338530966,85.4287415486026,87.7646828791222,90.1392594531634,94.6303325605943,61.5417545131794,72.7272396629852,44.5100546299361,57.3222534863862,65.2295662688249,90.4479783655856,62.8701839130906,73.8923824446398,54.4926577091484,86.8281185356081
"FBgn0025692",4.89881972921866,1.53767594514704,5.21677585810171,8.27976818170982,7.89259956215313,11.2010485160937,7.03530812753198,10.0878945838071,10.0154732725737,11.0035270419296,6.92344738273269,5.89680321591772,1.74549233842887,6.53038330857565,9.48793691182907,11.3059972956982,8.82388546148639,9.6381368406052,8.17389865637226,3.7751355885047
"FBgn0025712",45.0691415088117,23.0651391772057,36.517431006712,38.9149104540361,25.8303258397739,21.3838198943608,36.1815846558787,25.2197364595179,35.6105716358176,27.5088176048239,27.6937895309307,41.277622511424,35.7825929377918,40.6334961422485,33.2077791914017,38.0292636309849,28.6776277498308,40.9620815725721,34.5120165491273,44.3578431649302
"FBgn0025726",198.892081006278,186.058789362792,183.891348998085,168.079294088709,214.535206280344,145.613630709219,151.761646751047,186.626049800432,184.729840360804,184.859254304417,167.701281048414,150.368482005902,192.87690339639,232.191406527134,147.063022133351,187.062864347007,172.065766498985,169.470572780641,169.835449860179,172.71245317409
"FBgn0025740",4.89881972921866,3.07535189029409,5.21677585810171,4.13988409085491,7.1750905110483,3.05483141348011,6.03026410931312,13.1142629589493,6.67698218171581,6.60211622515774,2.30781579424423,2.94840160795886,6.98196935371547,5.80478516317835,8.30194479785044,0,6.6179140961148,2.4095342101513,9.0821096181914,3.7751355885047
"FBgn0025777",13.7166952418122,7.68837972573523,9.12935775167799,4.13988409085491,8.61010861325796,11.2010485160937,4.02017607287542,7.061526208665,4.45132145447721,9.90317433773661,12.3083509026359,6.87960375190401,6.10922318450103,6.53038330857565,11.8599211397863,6.16690761583538,6.6179140961148,2.4095342101513,9.0821096181914,8.49405507413557
